species;length;weight
Anabas testudineus;7.17;3.34
Anabas testudineus;9.41;3.31
Anabas testudineus;8.41;3.12
Anabas testudineus;7.01;3.25
Anabas testudineus;6.54;3.35
Anabas testudineus;7.08;3.25
Anabas testudineus;8.26;3.18
Anabas testudineus;8.10;3.12
Anabas testudineus;7.02;3.25
Anabas testudineus;8.15;3.27
Anabas testudineus;7.77;3.46
Anabas testudineus;9.58;3.29
Anabas testudineus;8.72;3.22
Anabas testudineus;8.58;3.44
Anabas testudineus;8.04;3.29
Anabas testudineus;7.53;3.06
Anabas testudineus;7.75;3.32
Anabas testudineus;8.41;3.24
Anabas testudineus;7.64;3.19
Anabas testudineus;10.19;3.42
Anabas testudineus;7.18;3.41
Anabas testudineus;10.58;3.38
Anabas testudineus;8.22;3.31
Anabas testudineus;8.34;3.40
Anabas testudineus;9.99;3.42
Anabas testudineus;8.57;3.25
Anabas testudineus;8.74;3.22
Anabas testudineus;7.30;3.38
Anabas testudineus;8.49;3.23
Anabas testudineus;8.62;3.24
Anabas testudineus;6.79;3.40
Anabas testudineus;9.59;3.35
Anabas testudineus;6.57;3.29
Anabas testudineus;7.90;3.33
Anabas testudineus;7.67;3.34
Anabas testudineus;9.62;3.23
Anabas testudineus;7.57;3.09
Anabas testudineus;8.21;3.31
Anabas testudineus;7.06;3.02
Anabas testudineus;9.57;3.33
Anabas testudineus;8.45;3.26
Anabas testudineus;6.98;3.34
Anabas testudineus;6.53;3.34
Anabas testudineus;6.68;3.23
Anabas testudineus;7.84;3.16
Anabas testudineus;7.34;3.16
Anabas testudineus;8.73;3.36
Anabas testudineus;8.08;3.29
Anabas testudineus;8.27;3.33
Anabas testudineus;7.92;3.26
Anabas testudineus;7.03;3.23
Anabas testudineus;6.70;3.14
Anabas testudineus;7.19;3.14
Anabas testudineus;10.76;3.20
Anabas testudineus;9.97;3.58
Anabas testudineus;6.50;3.17
Anabas testudineus;8.34;3.19
Anabas testudineus;7.44;3.26
Anabas testudineus;8.98;3.28
Anabas testudineus;7.21;3.12
Anabas testudineus;6.90;3.22
Anabas testudineus;7.82;3.16
Anabas testudineus;7.64;3.22
Anabas testudineus;9.44;3.39
Anabas testudineus;7.07;3.11
Anabas testudineus;9.59;3.31
Anabas testudineus;8.63;3.26
Anabas testudineus;8.16;3.36
Anabas testudineus;7.61;3.35
Anabas testudineus;6.84;3.34
Anabas testudineus;10.71;3.42
Anabas testudineus;6.90;3.14
Anabas testudineus;7.53;3.13
Anabas testudineus;8.86;3.35
Anabas testudineus;8.77;3.36
Anabas testudineus;6.50;3.18
Anabas testudineus;9.12;3.35
Anabas testudineus;8.36;3.36
Anabas testudineus;7.57;3.35
Anabas testudineus;7.55;3.16
Anabas testudineus;10.59;3.25
Anabas testudineus;8.77;3.11
Anabas testudineus;7.20;3.33
Anabas testudineus;8.94;3.39
Anabas testudineus;8.00;3.23
Anabas testudineus;7.68;3.15
Anabas testudineus;9.27;3.28
Anabas testudineus;9.03;3.37
Anabas testudineus;6.36;3.25
Anabas testudineus;7.85;3.37
Anabas testudineus;7.05;3.21
Anabas testudineus;9.18;3.43
Anabas testudineus;8.64;3.38
Anabas testudineus;8.64;3.12
Anabas testudineus;7.04;3.37
Anabas testudineus;7.29;3.43
Anabas testudineus;7.46;3.31
Anabas testudineus;9.06;3.29
Anabas testudineus;8.78;3.21
Anabas testudineus;9.33;3.38
Anabas testudineus;7.18;3.15
Anabas testudineus;8.25;3.18
Anabas testudineus;7.02;3.25
Anabas testudineus;9.13;3.43
Anabas testudineus;7.99;3.28
Anabas testudineus;8.78;3.11
Anabas testudineus;8.54;3.33
Anabas testudineus;6.51;3.35
Anabas testudineus;6.68;3.20
Anabas testudineus;8.95;3.30
Anabas testudineus;9.35;3.34
Anabas testudineus;6.82;3.21
Anabas testudineus;8.87;3.29
Anabas testudineus;7.55;3.26
Anabas testudineus;7.56;3.24
Anabas testudineus;8.64;3.41
Anabas testudineus;8.92;3.40
Anabas testudineus;9.33;3.36
Anabas testudineus;8.03;3.34
Anabas testudineus;7.61;3.19
Anabas testudineus;9.79;3.30
Anabas testudineus;9.80;3.24
Anabas testudineus;10.42;3.35
Anabas testudineus;9.34;3.30
Anabas testudineus;9.53;3.25
Anabas testudineus;8.95;3.27
Anabas testudineus;8.10;3.26
Anabas testudineus;7.07;3.27
Anabas testudineus;7.29;3.28
Anabas testudineus;9.21;3.37
Anabas testudineus;6.84;3.26
Anabas testudineus;8.39;3.15
Anabas testudineus;7.74;3.16
Anabas testudineus;8.49;3.33
Anabas testudineus;6.53;3.31
Anabas testudineus;7.19;3.20
Anabas testudineus;8.48;3.28
Anabas testudineus;6.98;3.31
Anabas testudineus;7.42;3.24
Anabas testudineus;8.06;3.29
Anabas testudineus;10.14;3.33
Anabas testudineus;9.41;3.18
Anabas testudineus;6.89;3.16
Anabas testudineus;8.23;3.14
Anabas testudineus;6.67;3.33
Anabas testudineus;7.36;3.13
Anabas testudineus;9.90;3.37
Anabas testudineus;8.41;3.31
Anabas testudineus;8.95;3.26
Anabas testudineus;6.53;3.05
Anabas testudineus;10.78;3.26
Anabas testudineus;9.66;3.36
Anabas testudineus;8.35;3.31
Anabas testudineus;6.87;3.14
Anabas testudineus;6.86;3.22
Anabas testudineus;8.54;3.24
Anabas testudineus;8.12;3.10
Anabas testudineus;10.31;3.20
Anabas testudineus;6.71;3.31
Anabas testudineus;9.47;3.44
Anabas testudineus;8.71;3.36
Anabas testudineus;7.90;3.16
Anabas testudineus;9.68;3.51
Anabas testudineus;8.92;3.24
Anabas testudineus;8.02;3.28
Anabas testudineus;8.79;3.36
Anabas testudineus;7.40;3.21
Anabas testudineus;7.36;3.22
Anabas testudineus;7.17;3.18
Anabas testudineus;7.49;3.08
Anabas testudineus;7.71;3.16
Anabas testudineus;7.69;3.16
Anabas testudineus;6.98;3.08
Anabas testudineus;9.47;3.53
Anabas testudineus;7.71;3.28
Anabas testudineus;6.75;3.22
Anabas testudineus;7.30;3.26
Anabas testudineus;8.73;3.33
Anabas testudineus;7.22;3.12
Anabas testudineus;7.05;3.34
Anabas testudineus;8.91;3.20
Anabas testudineus;8.10;3.19
Anabas testudineus;7.16;3.25
Anabas testudineus;7.06;3.23
Anabas testudineus;6.39;3.21
Anabas testudineus;8.94;3.18
Anabas testudineus;6.61;3.10
Anabas testudineus;6.58;3.15
Anabas testudineus;7.05;3.24
Anabas testudineus;8.00;3.34
Anabas testudineus;8.45;3.32
Anabas testudineus;7.80;3.15
Anabas testudineus;9.17;3.38
Anabas testudineus;9.24;3.11
Anabas testudineus;7.55;3.34
Anabas testudineus;7.33;3.16
Anabas testudineus;8.59;3.19
Anabas testudineus;7.94;3.23
Anabas testudineus;10.20;3.50
Anabas testudineus;7.48;3.21
Anabas testudineus;8.63;3.31
Anabas testudineus;8.66;3.35
Anabas testudineus;7.72;3.17
Anabas testudineus;6.52;3.35
Anabas testudineus;7.98;3.14
Anabas testudineus;10.62;3.45
Anabas testudineus;7.47;3.22
Anabas testudineus;7.51;3.18
Anabas testudineus;8.17;3.28
Anabas testudineus;7.84;3.17
Anabas testudineus;8.98;3.26
Anabas testudineus;8.65;3.34
Anabas testudineus;9.18;3.38
Anabas testudineus;8.98;3.26
Anabas testudineus;7.37;3.14
Anabas testudineus;7.95;3.37
Anabas testudineus;7.66;3.36
Anabas testudineus;8.80;3.42
Anabas testudineus;9.27;3.36
Anabas testudineus;7.05;3.24
Anabas testudineus;7.66;3.32
Anabas testudineus;9.13;3.32
Anabas testudineus;7.24;3.25
Anabas testudineus;7.58;3.23
Anabas testudineus;7.40;3.29
Anabas testudineus;8.68;3.38
Anabas testudineus;8.17;3.28
Anabas testudineus;10.45;3.46
Anabas testudineus;9.59;3.35
Anabas testudineus;8.27;3.15
Anabas testudineus;10.42;3.38
Anabas testudineus;7.76;3.22
Anabas testudineus;7.35;3.10
Anabas testudineus;8.42;3.27
Anabas testudineus;9.43;3.33
Anabas testudineus;9.63;3.27
Anabas testudineus;8.46;3.28
Anabas testudineus;6.72;3.14
Anabas testudineus;7.06;3.28
Anabas testudineus;8.82;3.25
Anabas testudineus;10.22;3.45
Anabas testudineus;9.39;3.38
Anabas testudineus;9.50;3.36
Anabas testudineus;9.87;3.35
Anabas testudineus;7.17;3.39
Anabas testudineus;7.64;3.38
Anabas testudineus;10.35;3.44
Anabas testudineus;8.22;3.22
Anabas testudineus;6.55;3.27
Anabas testudineus;7.01;3.24
Anabas testudineus;10.16;3.38
Anabas testudineus;6.37;3.25
Anabas testudineus;7.15;3.20
Anabas testudineus;9.85;3.25
Anabas testudineus;7.32;3.28
Anabas testudineus;8.47;3.44
Anabas testudineus;8.67;3.31
Anabas testudineus;9.26;3.34
Anabas testudineus;8.59;3.18
Anabas testudineus;7.76;3.24
Anabas testudineus;7.80;3.34
Anabas testudineus;6.88;3.34
Anabas testudineus;7.52;3.09
Anabas testudineus;7.35;3.22
Anabas testudineus;10.39;3.27
Anabas testudineus;6.86;3.15
Anabas testudineus;7.23;3.16
Anabas testudineus;8.10;3.27
Anabas testudineus;9.10;3.30
Anabas testudineus;8.57;3.36
Anabas testudineus;7.17;3.16
Anabas testudineus;7.73;3.17
Anabas testudineus;8.57;3.16
Anabas testudineus;8.11;3.06
Anabas testudineus;7.97;3.24
Anabas testudineus;8.26;3.26
Anabas testudineus;7.70;3.34
Anabas testudineus;8.40;3.27
Anabas testudineus;7.57;3.16
Anabas testudineus;7.00;3.21
Anabas testudineus;6.60;3.17
Anabas testudineus;8.92;3.24
Anabas testudineus;9.65;3.21
Anabas testudineus;7.98;3.22
Anabas testudineus;6.54;3.43
Anabas testudineus;8.34;3.12
Anabas testudineus;6.43;3.21
Anabas testudineus;10.19;3.32
Anabas testudineus;7.53;3.34
Anabas testudineus;7.44;3.11
Anabas testudineus;9.12;3.42
Anabas testudineus;8.24;3.37
Anabas testudineus;8.83;3.27
Anabas testudineus;7.94;3.18
Anabas testudineus;9.66;3.51
Anabas testudineus;8.11;3.10
Anabas testudineus;7.28;3.13
Anabas testudineus;7.29;3.36
Anabas testudineus;6.67;3.27
Anabas testudineus;9.50;3.42
Anabas testudineus;10.04;3.41
Anabas testudineus;9.31;3.39
Anabas testudineus;8.89;3.21
Anabas testudineus;7.92;3.38
Anabas testudineus;10.04;3.51
Anabas testudineus;7.21;3.26
Anabas testudineus;8.47;3.34
Anabas testudineus;7.03;3.34
Anabas testudineus;7.76;3.29
Anabas testudineus;7.47;3.34
Anabas testudineus;8.19;3.21
Anabas testudineus;8.64;3.29
Anabas testudineus;7.56;3.31
Anabas testudineus;9.64;3.41
Anabas testudineus;11.01;3.47
Anabas testudineus;10.37;3.45
Anabas testudineus;8.81;3.19
Anabas testudineus;9.20;3.12
Anabas testudineus;6.98;3.43
Anabas testudineus;8.89;3.36
Anabas testudineus;6.76;3.16
Anabas testudineus;9.82;3.17
Anabas testudineus;8.47;3.25
Anabas testudineus;9.35;3.44
Anabas testudineus;7.97;3.28
Anabas testudineus;7.71;3.34
Anabas testudineus;6.74;3.23
Anabas testudineus;9.78;3.29
Anabas testudineus;7.33;3.39
Anabas testudineus;7.55;3.06
Anabas testudineus;9.45;3.34
Anabas testudineus;7.19;3.15
Anabas testudineus;6.81;3.27
Anabas testudineus;7.66;3.24
Anabas testudineus;8.42;3.18
Anabas testudineus;10.52;3.46
Anabas testudineus;7.90;3.21
Anabas testudineus;7.28;3.08
Anabas testudineus;8.98;3.25
Anabas testudineus;7.12;3.25
Anabas testudineus;7.52;3.29
Anabas testudineus;8.47;3.32
Anabas testudineus;10.15;3.33
Anabas testudineus;6.72;3.19
Anabas testudineus;6.65;3.26
Anabas testudineus;8.57;3.58
Anabas testudineus;7.04;3.09
Anabas testudineus;7.57;3.26
Anabas testudineus;6.85;3.22
Anabas testudineus;9.18;3.14
Anabas testudineus;7.70;3.38
Anabas testudineus;9.95;3.29
Anabas testudineus;8.47;3.32
Anabas testudineus;7.06;3.12
Anabas testudineus;6.96;3.25
Anabas testudineus;7.97;3.28
Anabas testudineus;8.74;3.35
Anabas testudineus;6.89;3.27
Anabas testudineus;6.90;3.18
Anabas testudineus;8.50;3.40
Anabas testudineus;10.02;3.21
Anabas testudineus;9.03;3.17
Anabas testudineus;6.91;3.17
Anabas testudineus;7.28;3.08
Anabas testudineus;8.35;3.27
Anabas testudineus;8.18;3.25
Anabas testudineus;6.98;3.22
Anabas testudineus;6.39;3.37
Anabas testudineus;7.34;3.22
Anabas testudineus;8.42;3.15
Anabas testudineus;7.09;3.18
Anabas testudineus;9.65;3.24
Anabas testudineus;7.37;3.19
Anabas testudineus;9.12;3.08
Coilia dussumieri;23.27;2.43
Coilia dussumieri;24.15;2.34
Coilia dussumieri;25.16;2.87
Coilia dussumieri;24.21;2.61
Coilia dussumieri;25.00;3.06
Coilia dussumieri;22.97;2.55
Coilia dussumieri;24.17;2.30
Coilia dussumieri;23.81;2.80
Coilia dussumieri;24.68;2.42
Coilia dussumieri;24.24;2.46
Coilia dussumieri;23.78;2.48
Coilia dussumieri;23.15;2.76
Coilia dussumieri;23.90;3.01
Coilia dussumieri;24.96;2.56
Coilia dussumieri;25.45;3.23
Coilia dussumieri;24.88;2.70
Coilia dussumieri;24.44;2.75
Coilia dussumieri;23.75;3.00
Coilia dussumieri;24.09;3.11
Coilia dussumieri;23.62;2.54
Coilia dussumieri;25.08;2.53
Coilia dussumieri;24.54;2.66
Coilia dussumieri;24.21;2.86
Coilia dussumieri;23.62;3.17
Coilia dussumieri;24.94;2.89
Coilia dussumieri;25.46;2.93
Coilia dussumieri;25.19;3.23
Coilia dussumieri;23.50;2.77
Coilia dussumieri;25.08;2.93
Coilia dussumieri;23.19;2.88
Coilia dussumieri;24.19;2.72
Coilia dussumieri;23.93;2.72
Coilia dussumieri;24.85;2.34
Coilia dussumieri;24.21;2.34
Coilia dussumieri;24.67;3.29
Coilia dussumieri;25.43;2.24
Coilia dussumieri;25.05;2.84
Coilia dussumieri;24.89;2.86
Coilia dussumieri;25.43;3.13
Coilia dussumieri;24.31;2.69
Coilia dussumieri;24.78;2.63
Coilia dussumieri;24.81;2.78
Coilia dussumieri;24.37;2.60
Coilia dussumieri;23.50;2.79
Coilia dussumieri;23.97;3.03
Coilia dussumieri;24.60;3.05
Coilia dussumieri;24.59;2.67
Coilia dussumieri;25.30;2.80
Coilia dussumieri;23.66;3.02
Coilia dussumieri;23.64;2.55
Coilia dussumieri;24.52;2.77
Coilia dussumieri;23.66;2.62
Coilia dussumieri;24.64;2.76
Coilia dussumieri;24.00;2.69
Coilia dussumieri;23.68;2.63
Coilia dussumieri;23.52;2.41
Coilia dussumieri;24.60;2.66
Coilia dussumieri;24.63;3.08
Coilia dussumieri;23.83;2.93
Coilia dussumieri;23.56;3.15
Coilia dussumieri;24.23;2.72
Coilia dussumieri;23.71;2.96
Coilia dussumieri;24.25;2.74
Coilia dussumieri;25.00;2.76
Coilia dussumieri;25.08;2.67
Coilia dussumieri;25.19;2.90
Coilia dussumieri;24.75;2.67
Coilia dussumieri;23.70;2.93
Coilia dussumieri;23.14;2.43
Coilia dussumieri;24.33;2.85
Coilia dussumieri;24.37;2.51
Coilia dussumieri;25.36;2.82
Coilia dussumieri;24.44;2.72
Coilia dussumieri;25.15;2.66
Coilia dussumieri;24.74;2.09
Coilia dussumieri;24.59;2.49
Coilia dussumieri;23.49;2.33
Coilia dussumieri;23.33;3.15
Coilia dussumieri;23.98;3.16
Coilia dussumieri;24.98;2.86
Coilia dussumieri;23.42;2.44
Coilia dussumieri;23.46;2.87
Coilia dussumieri;24.89;2.77
Coilia dussumieri;25.16;3.00
Coilia dussumieri;24.75;2.93
Coilia dussumieri;24.74;2.84
Coilia dussumieri;24.54;3.43
Coilia dussumieri;24.56;2.67
Coilia dussumieri;24.66;2.91
Coilia dussumieri;24.36;2.85
Coilia dussumieri;24.36;2.88
Coilia dussumieri;24.41;2.62
Coilia dussumieri;24.97;2.63
Coilia dussumieri;23.30;2.46
Coilia dussumieri;25.28;3.02
Coilia dussumieri;23.87;2.72
Coilia dussumieri;23.65;2.74
Coilia dussumieri;25.64;2.83
Coilia dussumieri;24.98;2.52
Coilia dussumieri;22.69;2.76
Coilia dussumieri;23.51;2.88
Coilia dussumieri;24.10;2.71
Coilia dussumieri;23.51;2.30
Coilia dussumieri;23.46;2.64
Coilia dussumieri;24.11;2.94
Coilia dussumieri;25.47;2.94
Coilia dussumieri;25.44;2.48
Coilia dussumieri;24.46;2.83
Coilia dussumieri;23.78;2.71
Coilia dussumieri;24.50;2.67
Coilia dussumieri;23.74;2.75
Coilia dussumieri;24.62;3.15
Coilia dussumieri;23.05;2.86
Coilia dussumieri;24.21;2.95
Coilia dussumieri;24.20;2.57
Coilia dussumieri;24.97;2.53
Coilia dussumieri;23.83;3.03
Coilia dussumieri;25.10;2.86
Coilia dussumieri;24.56;2.49
Coilia dussumieri;24.00;3.07
Coilia dussumieri;25.32;2.92
Coilia dussumieri;25.48;2.52
Coilia dussumieri;23.58;2.58
Coilia dussumieri;24.68;2.58
Coilia dussumieri;25.05;3.14
Coilia dussumieri;24.09;2.82
Coilia dussumieri;25.47;2.76
Coilia dussumieri;24.55;2.35
Coilia dussumieri;25.46;3.36
Coilia dussumieri;24.75;2.32
Coilia dussumieri;24.74;2.93
Coilia dussumieri;23.92;2.97
Coilia dussumieri;24.17;2.76
Coilia dussumieri;23.47;2.93
Coilia dussumieri;24.37;2.74
Coilia dussumieri;23.93;2.86
Coilia dussumieri;25.68;2.79
Coilia dussumieri;24.86;2.85
Coilia dussumieri;24.58;2.67
Coilia dussumieri;25.59;2.95
Coilia dussumieri;24.52;3.18
Coilia dussumieri;24.24;2.64
Coilia dussumieri;24.63;3.10
Coilia dussumieri;24.87;2.74
Coilia dussumieri;24.09;2.85
Coilia dussumieri;24.16;2.63
Coilia dussumieri;24.54;2.77
Coilia dussumieri;25.14;2.60
Coilia dussumieri;24.72;3.17
Coilia dussumieri;23.91;2.56
Coilia dussumieri;24.28;2.98
Coilia dussumieri;24.29;2.59
Coilia dussumieri;24.53;2.65
Coilia dussumieri;24.70;2.97
Coilia dussumieri;24.86;2.46
Coilia dussumieri;24.30;3.16
Coilia dussumieri;23.85;2.94
Coilia dussumieri;24.71;2.89
Coilia dussumieri;24.34;2.77
Coilia dussumieri;24.54;2.36
Coilia dussumieri;23.90;2.57
Coilia dussumieri;24.64;2.98
Coilia dussumieri;23.98;3.30
Coilia dussumieri;24.00;3.17
Coilia dussumieri;24.15;3.12
Coilia dussumieri;24.21;2.49
Coilia dussumieri;25.17;2.60
Coilia dussumieri;24.58;2.51
Coilia dussumieri;24.96;2.48
Coilia dussumieri;24.22;2.51
Coilia dussumieri;25.15;2.82
Coilia dussumieri;24.10;2.62
Coilia dussumieri;24.23;2.86
Coilia dussumieri;24.47;2.90
Coilia dussumieri;24.99;2.81
Coilia dussumieri;24.10;2.69
Coilia dussumieri;23.94;3.02
Coilia dussumieri;24.04;3.03
Coilia dussumieri;24.82;2.97
Coilia dussumieri;25.04;2.68
Coilia dussumieri;24.55;2.92
Coilia dussumieri;24.62;2.68
Coilia dussumieri;24.55;2.77
Coilia dussumieri;24.63;2.38
Coilia dussumieri;25.62;2.60
Coilia dussumieri;24.98;2.72
Coilia dussumieri;23.14;2.55
Coilia dussumieri;24.10;2.43
Coilia dussumieri;24.80;2.46
Coilia dussumieri;24.24;2.89
Coilia dussumieri;23.79;2.77
Coilia dussumieri;24.29;2.40
Coilia dussumieri;25.01;2.60
Coilia dussumieri;24.50;2.97
Coilia dussumieri;25.24;3.15
Coilia dussumieri;24.69;2.27
Coilia dussumieri;24.38;2.71
Coilia dussumieri;23.83;3.02
Coilia dussumieri;23.52;3.21
Coilia dussumieri;24.81;2.58
Coilia dussumieri;23.85;2.49
Coilia dussumieri;25.04;2.71
Coilia dussumieri;23.41;2.98
Coilia dussumieri;24.90;2.68
Coilia dussumieri;23.48;2.74
Coilia dussumieri;24.69;2.82
Coilia dussumieri;24.42;2.60
Coilia dussumieri;25.49;2.69
Coilia dussumieri;24.03;2.69
Coilia dussumieri;25.02;2.64
Coilia dussumieri;25.40;2.94
Coilia dussumieri;24.43;2.88
Coilia dussumieri;24.58;2.23
Coilia dussumieri;23.34;2.69
Coilia dussumieri;24.97;2.61
Coilia dussumieri;23.57;3.20
Coilia dussumieri;24.10;2.61
Coilia dussumieri;22.98;3.27
Coilia dussumieri;24.51;2.74
Coilia dussumieri;24.16;2.73
Coilia dussumieri;24.71;3.02
Coilia dussumieri;25.42;2.88
Coilia dussumieri;24.14;2.51
Coilia dussumieri;25.76;3.02
Coilia dussumieri;23.80;2.50
Coilia dussumieri;24.14;2.85
Coilia dussumieri;24.59;3.07
Coilia dussumieri;25.06;2.90
Coilia dussumieri;24.99;2.67
Coilia dussumieri;23.92;2.87
Coilia dussumieri;24.76;2.86
Coilia dussumieri;23.30;2.64
Coilia dussumieri;23.97;2.65
Coilia dussumieri;24.17;3.01
Coilia dussumieri;23.18;2.92
Coilia dussumieri;25.02;3.04
Coilia dussumieri;24.65;2.82
Coilia dussumieri;24.30;2.99
Coilia dussumieri;23.99;2.54
Coilia dussumieri;24.41;2.96
Coilia dussumieri;25.25;2.90
Coilia dussumieri;24.76;3.01
Coilia dussumieri;24.05;2.30
Coilia dussumieri;24.60;2.52
Coilia dussumieri;25.53;2.15
Coilia dussumieri;23.58;3.00
Coilia dussumieri;23.31;3.17
Coilia dussumieri;23.15;3.23
Coilia dussumieri;24.03;2.94
Coilia dussumieri;24.02;2.38
Coilia dussumieri;24.39;3.09
Coilia dussumieri;23.57;2.84
Coilia dussumieri;24.68;2.50
Coilia dussumieri;23.60;2.60
Coilia dussumieri;23.64;2.74
Coilia dussumieri;22.73;2.71
Coilia dussumieri;23.72;2.62
Coilia dussumieri;25.40;2.46
Coilia dussumieri;24.45;3.07
Coilia dussumieri;24.08;2.87
Coilia dussumieri;24.43;2.62
Coilia dussumieri;24.66;2.88
Coilia dussumieri;24.65;2.62
Coilia dussumieri;24.10;2.69
Coilia dussumieri;25.58;2.57
Coilia dussumieri;24.12;2.47
Coilia dussumieri;25.28;2.78
Coilia dussumieri;24.04;2.73
Coilia dussumieri;24.06;3.07
Coilia dussumieri;23.22;2.45
Coilia dussumieri;23.69;2.27
Coilia dussumieri;24.71;2.54
Coilia dussumieri;22.62;2.37
Coilia dussumieri;25.32;2.85
Coilia dussumieri;24.33;2.67
Coilia dussumieri;24.88;2.91
Coilia dussumieri;24.09;2.20
Coilia dussumieri;24.58;2.58
Coilia dussumieri;23.45;2.94
Coilia dussumieri;22.86;2.73
Coilia dussumieri;24.63;2.70
Coilia dussumieri;23.35;2.33
Coilia dussumieri;25.58;3.12
Coilia dussumieri;23.84;2.99
Coilia dussumieri;24.66;2.54
Coilia dussumieri;24.75;2.57
Coilia dussumieri;24.08;2.60
Coilia dussumieri;24.62;2.52
Coilia dussumieri;24.95;2.80
Coilia dussumieri;23.73;2.30
Coilia dussumieri;25.11;2.47
Coilia dussumieri;24.76;2.75
Coilia dussumieri;24.78;2.51
Coilia dussumieri;25.25;2.72
Coilia dussumieri;23.62;2.72
Coilia dussumieri;24.69;2.42
Coilia dussumieri;23.94;2.82
Coilia dussumieri;24.85;3.55
Coilia dussumieri;23.77;2.71
Coilia dussumieri;24.13;2.75
Coilia dussumieri;23.95;2.41
Coilia dussumieri;24.36;3.15
Coilia dussumieri;24.19;2.52
Coilia dussumieri;25.02;3.00
Coilia dussumieri;24.53;2.44
Coilia dussumieri;25.36;3.04
Coilia dussumieri;25.40;2.94
Coilia dussumieri;24.20;2.65
Coilia dussumieri;23.33;3.00
Coilia dussumieri;24.05;2.64
Coilia dussumieri;23.86;2.50
Coilia dussumieri;25.43;2.99
Coilia dussumieri;23.60;2.42
Coilia dussumieri;24.73;2.95
Coilia dussumieri;23.96;2.52
Coilia dussumieri;24.28;2.48
Coilia dussumieri;24.64;2.66
Coilia dussumieri;24.24;2.19
Coilia dussumieri;23.30;2.74
Coilia dussumieri;24.85;2.81
Coilia dussumieri;25.40;2.69
Coilia dussumieri;24.25;2.61
Coilia dussumieri;24.75;3.00
Coilia dussumieri;25.57;2.29
Coilia dussumieri;23.94;2.92
Coilia dussumieri;24.73;2.90
Coilia dussumieri;23.85;2.76
